# GROUND-TRUTH ASSET MANIFEST for server_rack_1..8
# Read with: pandas.read_csv(path, comment='#')
# Generated by scripts/generate_barcode_labels.py. If you edit a rack, re-run it.
#
# barcode      : the Code 128 payload printed on the label, and the ONLY thing
#                the LS2208 reports. 7 hex digits at 7.5 mil,
#                132 modules = 25.15 mm wide inside a 28 mm print area.
#                Budgeted as 7 Subset B codewords; the encoder actually emits a
#                mixed C-then-B sequence that comes to the same module count.
# label_name   : the world model name, always barcode_label_<barcode>. The
#                scanner derives the payload from this suffix, so the model
#                name no longer leaks equipment type to the estimator the way
#                rfid_tag_r1_ups did.
# tag_name     : the old RFID model name. Retained ONLY to join against
#                historical bags and the RFID worlds, which are unchanged.
# epc          : the old CommsEndpoint address. Dead for the barcode path.
# z_local_m    : label z in the RACK frame. World z = rack pose z + this.
# x_local_m    : label x in the RACK frame, the label COLUMN.
#                Label y is always -0.5042 (substrate is 6.35 mm thick, so it
#                spans y = -0.507375..-0.501025, entirely in front of
#                the -0.50 faceplate plane).
#
# Substrate 38.1 x 12.7 x 6.35 mm. Bar height 3 mm, which is what forces the
# scanner's roll limit down to atan((3.0 + 0.2) / 25.15) = 7.3 deg,
# far tighter than the LS2208's published +/-30 deg. The denominator is the
# SYMBOL width incl. quiet zones, not the 28 mm print area, and the numerator
# includes the beam spot; quoting a bare atan(3/28) = 6.1 deg understates it.
#
# NB the codes are unique per ASSET, not per physical label. server_room.sdf
# includes racks 1-4 on rows 0 and 2 and racks 5-8 on rows 1 and 3, so all
# 138 codes appear TWICE in that world, 276 labels in total. A decoded
# string does not identify a location on its own. This is inherited from the
# RFID setup, whose EPCs duplicated the same way.
rack_model,label_name,barcode,tag_name,epc,equipment,u_start,u_end,u_size,depth_m,z_local_m,x_local_m
server_rack_1,barcode_label_031FB00,031FB00,rfid_tag_r1_ups,E200-1001,ups,1,4,4,0.70,0.1389,0.18
server_rack_1,barcode_label_031FB01,031FB01,rfid_tag_r1_pdu,E200-1002,pdu,5,5,1,0.42,0.2500,0.18
server_rack_1,barcode_label_031FB02,031FB02,rfid_tag_r1_switch_1,E200-1003,switch,6,7,2,0.42,0.3167,0.18
server_rack_1,barcode_label_031FB03,031FB03,rfid_tag_r1_patch_panel_1,E200-1004,patch_panel,8,9,2,0.15,0.4056,0.18
server_rack_1,barcode_label_031FB04,031FB04,rfid_tag_r1_cable_manager_1,E200-1005,cable_manager,10,10,1,0.15,0.4723,0.18
server_rack_1,barcode_label_031FB05,031FB05,rfid_tag_r1_switch_2,E200-1006,switch,11,12,2,0.42,0.5390,0.18
server_rack_1,barcode_label_031FB06,031FB06,rfid_tag_r1_patch_panel_2,E200-1007,patch_panel,13,14,2,0.15,0.6279,0.18
server_rack_1,barcode_label_031FB07,031FB07,rfid_tag_r1_cable_manager_2,E200-1008,cable_manager,15,15,1,0.15,0.6945,0.18
server_rack_1,barcode_label_031FB08,031FB08,rfid_tag_r1_switch_3,E200-1009,switch,16,17,2,0.42,0.7612,0.18
server_rack_1,barcode_label_031FB09,031FB09,rfid_tag_r1_patch_panel_3,E200-100A,patch_panel,18,19,2,0.15,0.8501,0.18
server_rack_1,barcode_label_031FB0A,031FB0A,rfid_tag_r1_cable_manager_3,E200-100B,cable_manager,20,20,1,0.15,0.9168,0.18
server_rack_1,barcode_label_031FB0B,031FB0B,rfid_tag_r1_switch_4,E200-100C,switch,21,22,2,0.42,0.9835,0.18
server_rack_1,barcode_label_031FB0C,031FB0C,rfid_tag_r1_patch_panel_4,E200-100D,patch_panel,23,24,2,0.15,1.0724,0.18
server_rack_1,barcode_label_031FB0D,031FB0D,rfid_tag_r1_cable_manager_4,E200-100E,cable_manager,25,25,1,0.15,1.1390,0.18
server_rack_1,barcode_label_031FB0E,031FB0E,rfid_tag_r1_fiber_patch_panel,E200-100F,fiber_patch_panel,26,29,4,0.30,1.2502,0.18
server_rack_1,barcode_label_031FB0F,031FB0F,rfid_tag_r1_server_1,E200-1010,server,30,31,2,0.70,1.3835,0.18
server_rack_1,barcode_label_031FB10,031FB10,rfid_tag_r1_server_2,E200-1011,server,32,33,2,0.70,1.4724,0.18
server_rack_1,barcode_label_031FB11,031FB11,rfid_tag_r1_server_3,E200-1012,server,34,35,2,0.70,1.5613,0.18
server_rack_1,barcode_label_031FB12,031FB12,rfid_tag_r1_server_4,E200-1013,server,36,37,2,0.70,1.6502,0.18
server_rack_1,barcode_label_031FB13,031FB13,rfid_tag_r1_server_5,E200-1014,server,38,39,2,0.70,1.7391,0.18
server_rack_1,barcode_label_031FB14,031FB14,rfid_tag_r1_server_6,E200-1015,server,40,41,2,0.70,1.8280,0.18
server_rack_1,barcode_label_031FB15,031FB15,rfid_tag_r1_kvm,E200-1016,kvm,42,42,1,0.42,1.8947,0.18
server_rack_2,barcode_label_031FB16,031FB16,rfid_tag_r2_ups,E200-2001,ups,1,4,4,0.70,0.1389,0.18
server_rack_2,barcode_label_031FB17,031FB17,rfid_tag_r2_pdu_1,E200-2002,pdu,5,5,1,0.42,0.2500,0.18
server_rack_2,barcode_label_031FB18,031FB18,rfid_tag_r2_switch_1,E200-2003,switch,6,7,2,0.42,0.3167,0.18
server_rack_2,barcode_label_031FB19,031FB19,rfid_tag_r2_switch_2,E200-2004,switch,8,9,2,0.42,0.4056,0.18
server_rack_2,barcode_label_031FB1A,031FB1A,rfid_tag_r2_cable_manager_1,E200-2005,cable_manager,10,10,1,0.15,0.4723,0.18
server_rack_2,barcode_label_031FB1B,031FB1B,rfid_tag_r2_server_1,E200-2006,server,11,12,2,0.70,0.5390,0.18
server_rack_2,barcode_label_031FB1C,031FB1C,rfid_tag_r2_server_2,E200-2007,server,13,14,2,0.70,0.6279,0.18
server_rack_2,barcode_label_031FB1D,031FB1D,rfid_tag_r2_server_3,E200-2008,server,15,16,2,0.70,0.7168,0.18
server_rack_2,barcode_label_031FB1E,031FB1E,rfid_tag_r2_server_4,E200-2009,server,17,18,2,0.70,0.8057,0.18
server_rack_2,barcode_label_031FB1F,031FB1F,rfid_tag_r2_server_5,E200-200A,server,19,20,2,0.70,0.8946,0.18
server_rack_2,barcode_label_031FB20,031FB20,rfid_tag_r2_server_6,E200-200B,server,21,22,2,0.70,0.9835,0.18
server_rack_2,barcode_label_031FB21,031FB21,rfid_tag_r2_server_7,E200-200C,server,23,24,2,0.70,1.0724,0.18
